spanish,english,level,image_link
consolar,to console,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
construir,to build,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
consultar,to consult,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
consumir,to consume,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
contener,to contain,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
contestar,to answer,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
continuar,to continue,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
contribuir,to contribute,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
controlar,to control,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
convencer,to convince,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
convertir,to convert,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
convocar,to convene,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
copiar,to copy,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
corregir,to correct,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
correr,to run,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
cortar,to cut,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
coser,to sew,A1, https://img.favpng.com/15/22/17/computer-icons-scalable-vector-graphics-clip-art-png-favpng-PQWXELLgKqEh8Y7TKSdyekyTz_t.jpg
